Time hh:mm:ss tt,Game Time ss.,Event
Time: 09:34:13 AM,Game Time: 0,Game Start
Time: 09:34:13 AM,Game Time: 0,Conversation Start.
Time: 09:34:13 AM,Game Time: 0.02,Entered Corridor
Time: 09:34:14 AM,Game Time: 0.5142596,Objective Change. To: Go see the Professor.
Time: 09:34:24 AM,Game Time: 10.72,Entered Bridge Area
Time: 09:34:28 AM,Game Time: 14.24,Entered DrSMLCoversationTrigger
Time: 09:34:28 AM,Game Time: 14.24,Conversation Panel Changed (Button Click)
Time: 09:34:28 AM,Game Time: 14.24,Conversation Panel Changed (Button Click)
Time: 09:34:30 AM,Game Time: 16.1471,Conversation Panel Changed (Button Click)
Time: 09:34:30 AM,Game Time: 16.60717,Objective Change. To: Go to the terrain simulator.
Time: 09:34:30 AM,Game Time: 16.60717,Conversation End.
Time: 09:34:30 AM,Game Time: 16.60717,Conversation Panel Changed (Button Click)
Time: 09:34:35 AM,Game Time: 20.05542,Dirt Available Value Changed: 100%
Time: 09:34:37 AM,Game Time: 22.31964,Terrain Tool Orientation Changed: To 1
Time: 09:34:38 AM,Game Time: 23.32714,Dirt Available Value Changed: 99%
Time: 09:34:39 AM,Game Time: 24.89122,Terrain Tool Brush Size Changed: To 5
Time: 09:34:40 AM,Game Time: 25.29513,Terrain Tool Intensity Changed: To 8
Time: 09:34:40 AM,Game Time: 25.50399,Terrain Tool Intensity Changed: To 9
Time: 09:34:40 AM,Game Time: 26.04709,Terrain Tool Intensity Changed: To 10
Time: 09:34:43 AM,Game Time: 28.51402,Dirt Available Value Changed: 98%
Time: 09:34:43 AM,Game Time: 28.54736,Dirt Available Value Changed: 97%
Time: 09:34:43 AM,Game Time: 28.61402,Dirt Available Value Changed: 96%
Time: 09:34:43 AM,Game Time: 28.68069,Dirt Available Value Changed: 95%
Time: 09:34:43 AM,Game Time: 28.71402,Dirt Available Value Changed: 94%
Time: 09:34:43 AM,Game Time: 28.78069,Dirt Available Value Changed: 93%
Time: 09:34:43 AM,Game Time: 28.81402,Dirt Available Value Changed: 92%
Time: 09:34:44 AM,Game Time: 28.88069,Dirt Available Value Changed: 91%
Time: 09:34:44 AM,Game Time: 28.94736,Dirt Available Value Changed: 90%
Time: 09:34:44 AM,Game Time: 28.98069,Dirt Available Value Changed: 89%
Time: 09:34:44 AM,Game Time: 29.04735,Dirt Available Value Changed: 88%
Time: 09:34:44 AM,Game Time: 29.08069,Dirt Available Value Changed: 87%
Time: 09:34:44 AM,Game Time: 29.14735,Dirt Available Value Changed: 86%
Time: 09:34:44 AM,Game Time: 29.18069,Dirt Available Value Changed: 85%
Time: 09:34:44 AM,Game Time: 29.24735,Dirt Available Value Changed: 84%
Time: 09:34:44 AM,Game Time: 29.31402,Dirt Available Value Changed: 83%
Time: 09:34:44 AM,Game Time: 29.34735,Dirt Available Value Changed: 82%
Time: 09:34:44 AM,Game Time: 29.41402,Dirt Available Value Changed: 81%
Time: 09:34:44 AM,Game Time: 29.44735,Dirt Available Value Changed: 80%
